年份,第几周,部门,"本周
新开户",本月新开户,"本月新增
有效户",本年新开户,"本年新增
有效户","本周
新增市值","本月
新增市值",本年新增市值,"本周
新开两融户","本月
新开两融户","本年
新开两融户","资产
总量（亿）","两融余额
（万）",本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）,本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）
2023,32,北京方庄,3,5,0,1159,53,0.1276,5.6681,77.8753,0,0,1,1.79691009,461.406759,-,-,-,1.532152,2.77287,56.774698
2023,33,天津分公司,6,27,11,255,94,80.376294,370.246607,1401.770259,1,1,9,2.55361196,1767.989904,-,-,-,1.744355,5.46297,62.749802
2023,33,事业中心,10,20,10,105,61,975.648391,1816.213991,3422.695755,0,0,6,2.67006136,627.766447,4.926957,20.273216,186.457366,5.196728,22.52628,206.72212
2023,33,经纪人,3,9,8,118,78,26.45786,531.079304,645.28863,1,1,2,12.43033135,4089.791323,-,-,-,7.388674,22.910805,214.276929
2023,33,财富中心,4,12,4,90,50,65.508781,244.807589,1060.676699,1,2,10,4.88689634,2411.868849,4.20092,7.801759,75.586174,4.38688,8.548819,85.341352
2023,33,北京方庄,16,21,2,1190,65,57.704889,65.491493,234.420791,0,0,1,1.80291559,488.216972,-,-,-,1.78945,5.042595,73.037844
2023,34,天津分公司,8,35,13,263,96,113.5655,483.812107,1286.253072,0,1,9,2.5105839,1678.727128,-,-,-,1.430148,6.893118,64.17995
2023,34,事业中心,8,25,14,102,64,1507.587886,3281.623277,4951.864748,0,0,6,2.76644742,605.796829,10.703719,30.945181,197.126204,11.08698,33.581506,217.774219
2023,34,经纪人,3,12,11,121,81,6.0859,537.165204,790.532418,0,1,2,12.31627974,3890.505093,-,-,-,8.261451,31.172256,222.53838
2023,34,财富中心,2,14,6,92,52,15.448355,260.255944,1031.371063,1,3,11,4.71506187,2415.924745,3.969805,11.771564,79.555979,4.375217,12.924036,89.716569
2023,34,北京方庄,8,29,3,1198,66,54.6446,120.136093,252.603158,0,0,1,1.7580302,481.292677,-,-,-,2.227104,7.269699,75.264948
2023,35,天津分公司,3,38,14,266,97,39.414708,523.226815,1370.981596,0,1,9,2.56994855,1656.666577,-,-,-,1.835638,8.728756,66.015588
2023,35,事业中心,3,28,18,105,68,941.70094,4223.324217,6876.492884,0,0,6,2.9288573,478.312396,8.506878,39.452059,205.633082,8.798968,42.380474,226.573187
2023,35,经纪人,5,17,14,126,84,535.98784,1073.153044,1381.593215,0,1,2,6.9074941,2767.966501,-,-,-,6.234191,33.207649,194.832603
2023,35,财富中心,5,19,6,97,52,5.866996,266.12294,1094.730959,0,3,11,4.8050216,2720.14238,1.540897,13.312461,81.096876,1.81702,14.741056,91.533589
2023,35,北京方庄,10,39,5,1208,68,175.43452,295.570613,426.002956,0,0,1,1.80566717,346.112348,-,-,-,1.830206,9.099905,77.095154
2023,36,天津分公司,5,5,4,271,101,55.114518,55.114518,1284.960463,0,0,9,2.52104817,1545.369696,-,-,-,2.424604,2.424604,68.440192
2023,36,事业中心,4,4,1,109,69,1521.16159,1521.16159,6377.859814,1,1,7,3.08003231,495.367944,10.444314,10.444314,216.077396,10.790083,10.790083,237.36327
2023,36,经纪人,2,2,1,128,85,515.13,515.13,1343.13514,0,0,2,6.20360176,2999.748669,-,-,-,8.886396,8.886396,203.718999
2023,36,财富中心,0,0,1,97,53,5.639018,5.639018,926.139733,0,0,11,4.77721371,2720.045344,3.652616,3.652616,84.749492,3.912273,3.912273,95.445862
2023,36,北京方庄,13,13,7,1221,75,43.014906,43.014906,428.852669,0,0,1,1.83199195,384.292913,-,-,-,2.138488,2.138488,79.233642
2023,37,天津分公司,4,9,6,275,103,67.0456,122.160118,1265.772174,0,0,9,2.51071065,1616.613038,-,-,-,1.85369,4.278294,70.293882
2023,37,事业中心,0,4,2,108,70,406.410558,1927.572148,6883.950333,0,1,7,2.9990761,441.743396,8.935231,19.379545,225.012627,9.387603,20.177686,246.750873
2023,37,经纪人,2,4,1,131,85,15.46389,530.59389,1471.87428,0,0,2,5.80853543,3161.117195,-,-,-,6.28047,15.166866,209.999469
2023,37,财富中心,1,1,1,98,53,6.838472,12.47749,916.034269,0,0,11,4.78735847,2678.579938,1.737257,5.389873,86.486749,1.947107,5.85938,97.392969
2023,37,北京方庄,14,27,8,1235,76,725.851554,768.86646,1132.73309,2,2,3,1.91214368,431.051922,-,-,-,1.686932,3.82542,80.920574
2023,38,天津分公司,8,17,8,283,105,19.9766,142.136718,1230.094252,1,1,10,2.51535229,1681.592863,-,-,-,1.785425,6.063719,72.079307
2023,38,事业中心,2,6,4,110,72,225.739434,2153.311582,7255.231013,1,2,8,3.0159741,490.778559,1.566673,20.946218,226.5793,1.9375,22.115186,248.688373
2023,38,经纪人,0,4,1,131,85,3.82349,534.41738,1392.39403,0,0,2,5.80602893,3031.03518,-,-,-,4.078343,19.245209,214.077812
2023,38,财富中心,1,2,2,99,54,0.2812,12.75869,925.111747,0,0,11,4.751382,2641.84249,1.924821,7.314694,88.41157,2.138168,7.997548,99.531137
2023,38,北京方庄,12,39,9,1247,77,139.907301,908.773761,1289.42837,0,2,3,1.94851666,755.327124,-,-,-,1.576398,5.401818,82.496972
2023,39,天津分公司,12,29,10,295,107,48.47037,190.607088,1484.624672,0,1,10,2.56832981,1687.634817,-,-,-,1.385433,7.449152,73.46474
2023,39,事业中心,2,8,5,112,73,54.514939,2207.826521,7363.336296,1,3,9,3.01100898,462.879869,1.607206,22.553424,228.186506,2.236374,24.35156,250.924747
2023,39,陕西分公司,6,17,5,237,30,66.349632,218.783205,729.398334,0,0,5,2.28176688,12.754873,-,-,-,0.261896,1.566685,19.524838
2023,39,经纪人,2,6,1,133,85,0.6194,535.03678,1366.622032,0,0,2,5.84680426,2795.213847,-,-,-,2.974196,22.219405,217.052008
2023,39,财富中心,0,1,3,75,46,3.3376,15.5517,856.665039,0,0,10,4.73462344,2514.97663,1.60171,8.822344,89.611423,1.806868,9.710356,100.936148
2023,39,北京方庄,27,66,14,1274,82,71.648728,980.422489,1267.561144,0,2,3,1.98093703,873.942203,-,-,-,2.008787,7.410605,84.505759
2023,41,天津分公司,16,16,6,311,113,160.4233,160.4233,1062.758674,0,0,10,2.61839471,1642.021107,-,-,-,2.183385,2.183385,75.648125
2023,41,事业中心,3,3,2,116,75,33.927249,33.927249,5154.988537,0,0,9,2.88580606,850.580769,9.106284,9.106284,237.29279,10.471869,10.471869,261.396616
2023,41,陕西分公司,4,4,0,241,30,51.6897,51.6897,383.703744,0,0,5,2.25778034,12.754873,-,-,-,0.531573,0.531573,20.056411
2023,41,经纪人,0,0,0,134,85,1.9569,1.9569,1164.9173,0,0,2,5.63644315,2868.801432,-,-,-,4.777981,4.777981,221.829989
2023,41,财富中心,0,0,0,75,46,0.9709,0.9709,601.84977,0,0,10,4.76162863,2755.230723,1.542618,1.542618,91.154041,1.845233,1.845233,102.781381
2023,41,北京方庄,7,7,2,1281,84,184.418153,184.418153,1227.136388,1,1,4,1.9888466,1048.541025,-,-,-,2.178462,2.178462,86.684221
2023,42,天津分公司,28,44,22,339,129,2077.632005,2238.055305,3037.504816,0,0,10,2.72331958,1519.695714,-,-,-,1.849171,4.032556,77.497296
2023,42,事业中心,3,6,4,119,77,146.645288,180.572537,4419.902052,0,0,9,2.66530747,1035.93762,13.123563,22.229847,250.416353,14.519486,24.991355,275.916102
2023,42,陕西分公司,11,15,1,252,31,97.98919,149.67889,422.867992,0,0,5,2.1015221,12.754873,-,-,-,0.351077,0.88265,20.407488
2023,42,经纪人,1,1,0,135,85,4.8888,6.8457,1133.09076,0,0,2,4.56225112,2825.987364,-,-,-,4.211096,8.878734,217.22449
2023,42,财富中心,0,0,0,75,46,0,0.9709,575.744014,1,1,11,4.57044916,2703.079139,1.820442,3.36306,92.974483,1.990842,3.836075,104.772223
